"No.","Time","Source","Destination","Protocol","Length","Info"
"4571","52.186265","192.168.1.26","192.168.1.12","HTTP","148","HEAD /axel-hill-climb.mp4 HTTP/1.1 "
"4583","52.209859","192.168.1.26","192.168.1.12","HTTP","160","HEAD /Ayacata-Cruz-de-San-Antonio.mp4 HTTP/1.1 "
"4595","52.240712","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Ayala-Alabang-Loop.mp4 HTTP/1.1 "
"4605","52.267133","192.168.1.26","192.168.1.12","HTTP","156","HEAD /Ayios-Sozon-Switchbacks.mp4 HTTP/1.1 "
"4621","52.291366","192.168.1.26","192.168.1.12","HTTP","158","HEAD /Ayios-Sozon-from-Kalamata.mp4 HTTP/1.1 "
"4634","52.310793","192.168.1.26","192.168.1.12","HTTP","141","HEAD /BHQ-Loop.mp4 HTTP/1.1 "
"4644","52.329215","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Bailey-Island.mp4 HTTP/1.1 "
"4656","52.350606","192.168.1.26","192.168.1.12","HTTP","141","HEAD /banff-4k.mp4 HTTP/1.1 "
"4667","52.369626","192.168.1.26","192.168.1.12","HTTP","145","HEAD /Baringo-Loop.mp4 HTTP/1.1 "
"4681","52.396935","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Barranco-Mogan.mp4 HTTP/1.1 "
"4691","52.420076","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Barranco-de-las-Aldea.mp4 HTTP/1.1 "
"4703","52.445577","192.168.1.26","192.168.1.12","HTTP","149","HEAD /Baudinard-Verdon.mp4 HTTP/1.1 "
"4714","52.468842","192.168.1.26","192.168.1.12","HTTP","176","HEAD /Bawdsey-To-Shingles-Street-Suffolk-Part-One.mp4 HTTP/1.1 "
"4728","52.499608","192.168.1.26","192.168.1.12","HTTP","176","HEAD /Bawdsey-To-Shingles-Street-Suffolk-Part-Two.mp4 HTTP/1.1 "
"4743","52.520220","192.168.1.26","192.168.1.12","HTTP","139","HEAD /Alpine.mp4 HTTP/1.1 "
"4755","52.545968","192.168.1.26","192.168.1.12","HTTP","146","HEAD /King-Mountain.mp4 HTTP/1.1 "
"4767","52.570780","192.168.1.26","192.168.1.12","HTTP","147","HEAD /bgs-oberbecken.mp4 HTTP/1.1 "
"4779","52.591871","192.168.1.26","192.168.1.12","HTTP","141","HEAD /Kufstein.mp4 HTTP/1.1 "
"4793","52.617503","192.168.1.26","192.168.1.12","HTTP","146","HEAD /willunga-full.mp4 HTTP/1.1 "
"4805","52.649504","192.168.1.26","192.168.1.12","HTTP","152","HEAD /beach-road-complete.mp4 HTTP/1.1 "
"4818","52.676953","192.168.1.26","192.168.1.12","HTTP","158","HEAD /beach-road-mordi-st-kilda.mp4 HTTP/1.1 "
"4829","52.710839","192.168.1.26","192.168.1.12","HTTP","158","HEAD /beach-road-st-kilda-mordi.mp4 HTTP/1.1 "
"4844","52.747387","192.168.1.26","192.168.1.12","HTTP","155","HEAD /beach-road-complete-21.mp4 HTTP/1.1 "
"4857","52.775658","192.168.1.26","192.168.1.12","HTTP","140","HEAD /Bealach.mp4 HTTP/1.1 "
"4868","52.806567","192.168.1.26","192.168.1.12","HTTP","146","HEAD /bear-mountain.mp4 HTTP/1.1 "
"4880","52.828874","192.168.1.26","192.168.1.12","HTTP","143","HEAD /Bear-Notch.mp4 HTTP/1.1 "
"4892","52.857138","192.168.1.26","192.168.1.12","HTTP","142","HEAD /beechmont.mp4 HTTP/1.1 "
"4903","52.881002","192.168.1.26","192.168.1.12","HTTP","140","HEAD /Belchen.mp4 HTTP/1.1 "
